"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","WESD","WESF","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT11","WT13","WT14","WT16"
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-01",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-02",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-03",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-04",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-05",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-06",,"1.8",,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-07",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-08",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-09",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-10",,"2.0",,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-11",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-12",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-13",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-14",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-15",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-16",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-17",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-18",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-19",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-20",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-21",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-22",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-23",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-24",,"20.8",,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-25",,"7.6",,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-26",,"1.0",,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-27",,"2.5",,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-28",,"0.5",,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-29",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-30",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-01-31",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-02-01",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-02-02",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-02-03",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-02-04",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-02-05",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-02-06",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-02-07",,"0.0","0.0",,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-02-08",,"0.0",,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-02-09",,"2.8",,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","34.13916","-118.11611","225.2","2013-02-10",,"0.0","0.0",,,,,,,,,,,,,,,,
